id,t_min,t_max
6,25.5,43.0
13,24.9,54.7
16,28.9,223.0
18,35.3,46.5
19,37.3,63.9
21,33.5,158.0
24,45.9,74.4
27,40.5,84.6
32,27.3,83.3
35,38.2,126.4
40,30.6,52.6
41,22.6,36.9
44,37.3,70.8
49,36.9,74.3
53,26.4,109.9
54,29.5,70.9
57,35.0,43.6
66,40.3,75.7
67,39.3,52.2
72,20.6,50.7
73,25.7,32.5
78,39.8,67.1
81,19.7,36.2
83,23.7,42.1
84,29.6,36.7
91,22.6,36.0
94,22.6,36.0
96,40.0,80.7
99,21.3,41.6
103,30.2,51.8
111,25.0,43.9
112,21.0,51.6
114,29.3,49.1
119,33.8,82.5
121,51.2,123.1
127,37.0,92.8
132,35.5,39.3
135,40.4,77.3
137,27.7,59.2
140,30.2,50.5
142,32.4,98.6
144,41.6,123.6
154,22.9,40.3
156,32.0,63.9
160,26.9,43.0
175,31.6,52.6
178,32.0,53.2
180,38.5,90.0
187,26.8,80.2
188,44.3,87.1
189,24.9,40.0
192,39.5,79.7
193,41.4,67.6
197,48.4,97.9
199,39.1,66.5
202,32.5,55.0
203,48.9,109.6
207,28.4,51.4
210,22.0,41.0
218,38.0,81.8
219,20.6,26.8
220,34.1,71.2
221,30.2,42.5
225,29.9,69.4
226,37.6,79.3
227,35.5,88.9
228,23.8,46.9
230,44.1,137.1
232,32.7,61.7
233,25.7,100.3
234,24.7,104.0
241,32.1,79.9
244,49.9,80.6
252,32.4,78.0
253,36.8,61.9
256,28.0,50.0
258,30.8,60.2
266,24.8,87.6
274,31.6,47.7
277,27.1,58.8
283,21.3,39.9
285,27.0,56.3
296,29.7,34.9
300,38.3,62.2
301,41.5,79.1
303,30.2,51.0
305,26.9,50.4
306,35.1,102.4
307,30.9,96.4
308,38.6,64.2
311,34.4,67.1
313,33.3,71.8
316,45.6,90.8
325,53.8,96.3
326,29.9,68.8
327,34.8,104.9
332,30.5,47.1
336,24.2,26.2
337,24.2,25.8
339,25.5,39.4
343,28.0,70.8
344,29.4,60.0
346,36.8,81.7
350,39.7,93.9
352,32.7,71.4
355,31.7,53.9
359,29.5,43.9
361,30.4,88.7
366,33.5,43.2
369,39.9,97.4
370,26.7,62.5
373,28.6,57.0
374,26.4,58.5
375,32.2,59.5
379,35.0,68.5
380,42.7,106.7
383,34.5,53.2
384,35.1,145.8
385,34.2,65.5
386,31.8,76.6
387,32.0,46.8
388,45.4,86.7
389,23.9,61.4
399,31.7,60.1
400,28.3,66.4
402,34.0,117.6
404,29.2,52.5
405,39.0,85.8
411,26.7,56.0
413,32.6,52.3
416,41.9,90.1
417,26.4,52.8
419,31.3,77.3
421,32.8,61.8
422,33.6,73.2
425,32.4,55.3
435,28.7,54.4
436,27.4,68.5
438,32.2,80.3
441,39.3,76.4
442,31.3,61.8
444,34.3,80.1
446,35.3,57.7
447,34.3,83.6
449,27.6,53.6
473,28.4,70.7
487,35.3,86.8
493,28.3,83.6
496,32.0,57.6
502,37.2,60.8
505,30.2,103.6
507,22.9,29.6
508,35.3,41.9
520,35.6,56.2
